Burgenland;<AT11>;;;;;
Lower Austria;<AT12>;;;;;
Vienna;<AT13>;;;;;
Carinthia;<AT21>;;;;;
Styria;<AT22>;;;;;
Upper Austria;<AT31>;;;;;
Salzburg;<AT32>;;;;;
Tyrol;<AT33>;;;;;
Vorarlberg;<AT34>;;;;;
